id,package_name,version,depends,predepends,description
1,xserver-xorg-input-vmmouse,1:13.1.0-0ubuntu1+1cdos1+1.10.0," libc6 (>= 2.7), libudev1 (>= 183), xorg-input-abi-20, xserver-xorg-core (>= 2:1.14.99.902), xserver-xorg-input-mouse, udev",,X.Org X server -- VMMouse input driver to use with VMWare
2,kpartx,0.4.9-3ubuntu8," libc6 (>= 2.14), libdevmapper1.02.1 (>= 2:1.02.36), udev (>> 136-1), dmsetup (>= 2:1.02.24)",,create device mappings for partitions
3,libexempi3,2.2.1-1ubuntu2," libc6 (>= 2.14), libexpat1 (>= 2.0.1), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.6), zlib1g (>= 1:1.1.4)",multiarch-support,library to parse XMP metadata (Library)
4,libgtkspell0,2.0.16-1ubuntu8," libc6 (>= 2.2.5), libenchant1c2a (>= 1.6.0), libglib2.0-0 (>= 2.24.0), libgtk2.0-0 (>= 2.8.0)",,a spell-checking addon for GTK's TextView widget
5,python-pkg-resources,3.3-1ubuntu2," python:any (>= 2.7), python:any (<< 2.8)",,Package Discovery and Resource Access using pkg_resources
6,tcpd,7.6.q-26," libc6 (>= 2.4), libwrap0 (>= 7.6-4~)",,Wietse Venema's TCP wrapper utilities
7,fcitx-module-cloudpinyin,0.3.3-1+1cdos2," libc6 (>= 2.15), libcurl3-gnutls (>= 7.16.2), fcitx-modules (>= 1:4.2.8)",,Flexible Input Method Framework - cloudpinyin module
8,python-urllib3,1.7.1-1build2," python:any (>= 2.7.5-5~), python:any (<< 2.8), python-six",,HTTP library with thread-safe connection pooling for Python
9,libnotify-bin,0.7.6-1ubuntu4," libc6 (>= 2.3.4), libglib2.0-0 (>= 2.26), libnotify4 (>= 0.7.3)",,sends desktop notifications to a notification daemon (Utilities)
10,libtext-wrapi18n-perl,0.06-8, libtext-charwidth-perl,,internationalized substitute of Text::Wrap
