id,package_name,version,depends,predepends,description
1,xserver-xorg-input-vmmouse,1:13.0.0-1build1," libc6 (>= 2.7), xorg-input-abi-20, xserver-xorg-core (>= 2:1.14.99.902), xserver-xorg-input-mouse, udev",,X.Org X server -- VMMouse input driver to use with VMWare
2,libexempi3,2.2.1-1ubuntu1," libc6 (>= 2.14), libexpat1 (>= 2.0.1), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.6), zlib1g (>= 1:1.1.4)",multiarch-support,library to parse XMP metadata (Library)
3,ubuntu-release-upgrader-gtk,1:0.220.2," ubuntu-release-upgrader-core (= 1:0.220.2), update-manager, python3-distupgrade (= 1:0.220.2), python3-dbus, python3-gi (>= 3.8), gir1.2-vte-2.90, gir1.2-gtk-3.0, gir1.2-webkit-3.0",,manage release upgrades
4,python-pkg-resources,2.7," python:any (>= 2.7), python:any (<< 2.8)",,Package Discovery and Resource Access using pkg_resources
5,tcpd,7.6.q-25," libc6 (>= 2.4), libwrap0 (>= 7.6-4~)",,Wietse Venema's TCP wrapper utilities
6,deja-dup-backend-gvfs,30.0-0ubuntu4," deja-dup, gvfs-backends",,Remote server support for Déjà Dup
7,mysql-client-core-5.5,5.5.49-0ubuntu0.14.04.1," libc6 (>= 2.17), libreadline6 (>= 6.0), zlib1g (>= 1:1.1.4)",,MySQL database core client binaries
8,python3-aptdaemon.pkcompat,1.1.1-1ubuntu5," python3:any (>= 3.3.2-2~), python3-aptdaemon (= 1.1.1-1ubuntu5), gir1.2-packagekitglib-1.0 (>= 0.8.9)",,PackageKit compatibilty for AptDaemon
9,libbonoboui2-0,2.24.5-0ubuntu3," gconf-service, libart-2.0-2 (>= 2.3.19), libatk1.0-0 (>= 1.12.4), libbonobo2-0 (>= 2.15.0), libc6 (>= 2.14), libgconf-2-4 (>= 2.31.1), libgdk-pixbuf2.0-0 (>= 2.22.0), libglade2-0 (>= 1:2.6.1), libglib2.0-0 (>= 2.37.3), libgnome2-0 (>= 2.17.3), libgnomecanvas2-0 (>= 2.11.1), libgtk2.0-0 (>= 2.24.0), liborbit-2-0 (>= 1:2.14.10), libpopt0 (>= 1.14), libx11-6, libxml2 (>= 2.7.4), libbonoboui2-common (>= 2.24), libbonoboui2-common (<< 2.25)",multiarch-support,The Bonobo UI library
10,python-urllib3,1.7.1-1build1," python:any (>= 2.7.5-5~), python:any (<< 2.8), python-six",,HTTP library with thread-safe connection pooling for Python
11,libnotify-bin,0.7.6-1ubuntu3," libc6 (>= 2.3.4), libglib2.0-0 (>= 2.26), libnotify4 (>= 0.7.3)",,sends desktop notifications to a notification daemon (Utilities)
12,libtext-wrapi18n-perl,0.06-7, libtext-charwidth-perl,,internationalized substitute of Text::Wrap
13,libclutter-1.0-0,1.16.4-0ubuntu2," libatk1.0-0 (>= 2.5.3), libc6 (>= 2.14), libcairo-gobject2 (>= 1.10.0), libcairo2 (>= 1.10), libcogl-pango15 (>= 1.15.8), libcogl15 (>= 1.15.8), libfontconfig1 (>= 2.9.0), libglib2.0-0 (>= 2.37.3), libgtk-3-0 (>= 3.3.18), libjson-glib-1.0-0 (>= 0.12.0), libpango-1.0-0 (>= 1.30), libpangocairo-1.0-0 (>= 1.30), libpangoft2-1.0-0 (>= 1.30), libx11-6 (>= 2:1.2.99.901), libxcomposite1 (>= 1:0.3-1), libxdamage1 (>= 1:1.1), libxi6 (>= 2:1.2.99.4)",multiarch-support,Open GL based interactive canvas library
14,sane-utils,1.0.23-3ubuntu3.1," adduser, update-inetd, debconf (>= 0.5) | debconf-2.0, libavahi-client3 (>= 0.6.16), libavahi-common3 (>= 0.6.16), libc6 (>= 2.15), libieee1284-3, libsane, libusb-1.0-0 (>= 2:1.0.8)",,API library for scanners -- utilities
15,empathy-common,3.8.6-0ubuntu9.1,,,GNOME multi-protocol chat and call client (common files)
16,libgpod-common,0.8.3-4ubuntu3," libc6 (>= 2.14), libglib2.0-0 (>= 2.31.18), libgpod4-nogtk (>= 0.7.90) | libgpod4 (>= 0.7.90), libimobiledevice4 (>= 0.9.7), libplist1 (>= 0.16), libsgutils2-2 (>= 1.27), libusb-1.0-0 (>= 2:1.0.8), libxml2 (>= 2.7.4)",,common files for libgpod
17,libustr-1.0-1,1.0.4-3ubuntu2, libc6 (>= 2.14),multiarch-support,Micro string library: shared library
18,fonts-freefont-ttf,20120503-4,,,"Freefont Serif, Sans and Mono Truetype fonts"
19,ubuntu-ui-toolkit-theme,0.1.46+14.04.20140408.1-0ubuntu1,,dpkg (>= 1.15.6~),Qt Components for Ubuntu - Ubuntu Theme
20,java-common,0.51,,,Base of all Java packages
21,python-lxml,3.3.3-1ubuntu0.1," python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), libc6 (>= 2.14), libxml2 (>= 2.9.0), libxslt1.1 (>= 1.1.26)",,pythonic binding for the libxml2 and libxslt libraries
22,libqt5qml-graphicaleffects,5.2.1-1, libqt5qml5,dpkg (>= 1.15.6~),Qt 5 Graphical Effects module
23,hwdata,0.249-1," usbutils, pciutils",,hardware identification / configuration data
24,apturl-common,0.5.2ubuntu4," python3:any (>= 3.3.2-2~), python3-apt, python3-update-manager",,install packages using the apt protocol - common data
25,liblangtag1,0.5.1-2," libc6 (>= 2.17), libxml2 (>= 2.7.4), liblangtag-common (= 0.5.1-2)",,library to access tags for identifying languages
26,fonts-kacst,2.01+mry-10,,dpkg (>= 1.15.6~),KACST free TrueType Arabic fonts
27,fonts-tlwg-waree,1:0.5.1-3,,,Thai Waree font
28,libjson-glib-1.0-0,0.16.2-1ubuntu1," libc6 (>= 2.4), libglib2.0-0 (>= 2.37.3), libjson-glib-1.0-common (>= 0.16.2-1ubuntu1)",multiarch-support,GLib JSON manipulation library
29,libgssdp-1.0-3,0.14.7-1ubuntu1," libc6 (>= 2.7), libglib2.0-0 (>= 2.37.3), libsoup2.4-1 (>= 2.26.1)",,GObject-based library for SSDP
30,gir1.2-ebookcontacts-1.2,3.10.4-0ubuntu1.1," gir1.2-edataserver-1.2 (= 3.10.4-0ubuntu1.1), gir1.2-freedesktop, gir1.2-glib-2.0, libebook-contacts-1.2-0 (>= 3.8.2)",,GObject introspection for the EBook Contacts library
31,libgnomekbd8,3.6.0-0ubuntu2," libc6 (>= 2.14), libcairo2 (>= 1.2.4), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.26.0), libgtk-3-0 (>= 3.0.0), libpango1.0-0 (>= 1.22.0), libx11-6, libxklavier16 (>= 5.0), libgnomekbd-common (>= 3.6.0-0ubuntu2), iso-codes",,GNOME library to manage keyboard configuration - shared library
